epoch,train_loss,train_ade,train_fde,train_gate,train_reg,train_kalman_ade,val_ade_5,val_ade_10,val_ade_20,val_ade_40,val_kalman_5,val_kalman_10,val_kalman_20,val_kalman_40,val_improve_5,val_improve_10,val_improve_20,val_improve_40
1,75.78215947644463,19.293935136351806,28.244018601584827,0.0,0.018727702947928273,21.696968298801956,nan,20.746218302540242,nan,nan,nan,22.224299560770856,nan,nan,nan,1.4780812582306133,nan,nan
2,74.56173449377606,20.40483836612959,27.078324815787298,0.0,0.02464440653248616,21.696968247901196,nan,20.834623113372903,nan,nan,nan,22.224299560770856,nan,nan,nan,1.389676447397953,nan,nan
3,73.9065500971438,20.564926425413393,26.67067479729831,0.0,0.027374895334221435,21.696968211298405,nan,21.077346120487807,nan,nan,nan,22.224299560770856,nan,nan,nan,1.146953440283049,nan,nan
4,73.11700495043615,20.506701123124657,26.305005719529458,0.0,0.02923370409795995,21.696968248473116,nan,20.670075402191177,nan,nan,nan,22.224299560770856,nan,nan,nan,1.5542241585796788,nan,nan
5,72.84301806539968,20.652768913738015,26.094969285910633,0.0,0.031021675948930467,21.696968335976663,nan,20.791985569954203,nan,nan,nan,22.224299560770856,nan,nan,nan,1.4323139908166524,nan,nan
6,72.42357966753318,20.683186139588592,25.870034220980024,0.0,0.03248404436137365,21.696968331973235,nan,21.31499497756031,nan,nan,nan,22.224299560770856,nan,nan,nan,0.9093045832105453,nan,nan
7,72.03626313216682,20.675708523111187,25.680109761250968,0.0,0.0335289022621365,21.69696841718911,nan,21.26139619985811,nan,nan,nan,22.224299560770856,nan,nan,nan,0.9629033609127475,nan,nan
8,71.38888841711956,20.379512605852987,25.504520845770656,0.0,0.03339491661140944,21.696968457795332,nan,20.599827419713936,nan,nan,nan,22.224299560770856,nan,nan,nan,1.6244721410569198,nan,nan
9,71.34960446107513,20.595877133531012,25.376690694417196,0.0,0.034593868840379696,21.696968423480214,nan,20.3547780232009,nan,nan,nan,22.224299560770856,nan,nan,nan,1.8695215375699554,nan,nan
10,71.11268914035414,20.658671333621825,25.22683272068647,0.0,0.03517579528792151,21.696968287363582,nan,21.546021297010892,nan,nan,nan,22.224299560770856,nan,nan,nan,0.6782782637599638,nan,nan
11,70.95721479012691,20.801610950658702,25.07762305447008,0.0,0.035728646630513436,21.69696829136701,nan,21.120327231783172,nan,nan,nan,22.224299560770856,nan,nan,nan,1.103972328987684,nan,nan
12,70.3601511233214,20.41585927274095,24.97197129108023,0.0,0.03493775844998445,21.69696843434667,nan,20.88121357966878,nan,nan,nan,22.224299560770856,nan,nan,nan,1.3430859811020746,nan,nan
13,70.06488129531425,20.413610290229947,24.825460364185886,0.0,0.03505075385701888,21.696968261055325,nan,20.890358841546153,nan,nan,nan,22.224299560770856,nan,nan,nan,1.333940719224703,nan,nan
14,69.95617523879662,20.649495789100385,24.653158524726283,0.0,0.03619920212155518,21.69696832053486,nan,20.723157193616757,nan,nan,nan,22.224299560770856,nan,nan,nan,1.5011423671540989,nan,nan
15,69.64758514678817,20.427095201598114,24.6100685336958,0.0,0.03527183704848947,21.696968146671598,nan,21.014144840278735,nan,nan,nan,22.224299560770856,nan,nan,nan,1.2101547204921204,nan,nan
16,69.26684035111046,20.333308187024347,24.466590172168555,0.0,0.03517558149982249,21.696968338836257,nan,20.867309774423546,nan,nan,nan,22.224299560770856,nan,nan,nan,1.3569897863473095,nan,nan
17,68.98492755575337,20.36341661284531,24.310576682255185,0.0,0.03573082163036317,21.696968235318987,nan,21.470076231110504,nan,nan,nan,22.224299560770856,nan,nan,nan,0.754223329660352,nan,nan
18,68.99533122004061,20.503856938603757,24.245556829930067,0.0,0.03602066132417326,21.69696837887056,nan,20.481554569440753,nan,nan,nan,22.224299560770856,nan,nan,nan,1.7427449913301025,nan,nan
19,68.8194695811579,20.35088351248265,24.2341177206883,0.0,0.03507764695779137,21.69696834970271,nan,20.372239569158488,nan,nan,nan,22.224299560770856,nan,nan,nan,1.852059991612368,nan,nan
20,68.55423941090368,20.237039980109127,24.15842561221373,0.0,0.03482801970625031,21.69696836228492,nan,20.522575335350304,nan,nan,nan,22.224299560770856,nan,nan,nan,1.701724225420552,nan,nan
21,68.40932007293472,20.31179288152097,24.048586101045853,0.0,0.035501191339482076,21.696968277640966,nan,20.32439158544007,nan,nan,nan,22.224299560770856,nan,nan,nan,1.8999079753307875,nan,nan
22,68.28976368596707,20.26437951163731,24.012515955385954,0.0,0.035223587156682536,21.696968405750738,nan,20.786898712323108,nan,nan,nan,22.224299560770856,nan,nan,nan,1.4374008484477478,nan,nan
23,68.36697535822238,20.462882678762547,23.951866578555357,0.0,0.03590371360418679,21.696968381158236,nan,20.50711764583848,nan,nan,nan,22.224299560770856,nan,nan,nan,1.7171819149323753,nan,nan
24,68.18274889807293,20.346938476676883,23.917726655127943,0.0,0.035686647087737715,21.696968448644636,nan,20.92673971078034,nan,nan,nan,22.224299560770856,nan,nan,nan,1.2975598499905168,nan,nan
25,67.81776300799186,20.218996049689387,23.79920489755885,0.0,0.03568720157848841,21.69696831710335,nan,20.322893421504766,nan,nan,nan,22.224299560770856,nan,nan,nan,1.90140613926609,nan,nan
26,67.77087553902187,20.14527336875538,23.81262383296572,0.0,0.0354157091918467,21.69696818441823,nan,20.70706402104131,nan,nan,nan,22.224299560770856,nan,nan,nan,1.517235539729544,nan,nan
27,67.71938408847335,20.205002238260754,23.757011648060857,0.0,0.03583465673733151,21.696968345127363,nan,20.893361448857267,nan,nan,nan,22.224299560770856,nan,nan,nan,1.3309381119135892,nan,nan
28,67.70862342113855,20.285991346139063,23.71113531407209,0.0,0.03609862073563386,21.69696832911364,nan,20.314327845502987,nan,nan,nan,22.224299560770856,nan,nan,nan,1.9099717152678686,nan,nan
29,67.64061108865123,20.28093339900027,23.679657888912903,0.0,0.03618504756773966,21.696968319391026,nan,20.785961166310255,nan,nan,nan,22.224299560770856,nan,nan,nan,1.438338394460601,nan,nan
30,67.51317936612749,20.214431760979558,23.64919302452808,0.0,0.03611355310995718,21.69696838058632,nan,20.771764669784115,nan,nan,nan,22.224299560770856,nan,nan,nan,1.4525348909867404,nan,nan
