epoch,train_loss,train_ade,train_fde,train_gate,train_reg,train_kalman_ade,val_ade_5,val_ade_10,val_ade_20,val_ade_40,val_kalman_5,val_kalman_10,val_kalman_20,val_kalman_40,val_improve_5,val_improve_10,val_improve_20,val_improve_40
1,93.63407439499244,20.53265561986005,36.55067592317733,0.0,0.006657674588330056,21.80155877509396,nan,19.927258847731633,nan,nan,nan,21.805812687547704,nan,nan,nan,1.878553839816071,nan,nan
2,85.32451546596087,19.050190013101968,33.137090919185795,0.0,0.01434155226680918,21.80155872934047,nan,18.04059695655812,nan,nan,nan,21.805812687547704,nan,nan,nan,3.765215730989585,nan,nan
3,70.83696734701496,19.7257560838645,25.555444350235465,0.0,0.03225924628695984,21.801558677867792,nan,20.510410968851172,nan,nan,nan,21.805812687547704,nan,nan,nan,1.2954017186965316,nan,nan
4,69.46659276181612,20.5027441891237,24.481744053624737,0.0,0.03603061147849599,21.80155864183692,nan,20.045901821931825,nan,nan,nan,21.805812687547704,nan,nan,nan,1.759910865615879,nan,nan
5,69.098470211458,20.546162111433908,24.275971440396745,0.0,0.03652119898478846,21.801558726766835,nan,20.532814244953688,nan,nan,nan,21.805812687547704,nan,nan,nan,1.272998442594016,nan,nan
6,69.0465457555951,20.661850432834882,24.192164041041615,0.0,0.03672019856377341,21.801558776809717,nan,19.99014409942118,nan,nan,nan,21.805812687547704,nan,nan,nan,1.815668588126524,nan,nan
7,68.49606672226936,20.483405030006054,24.006147918529596,0.0,0.03655851499541946,21.80155878310082,nan,19.980023513976587,nan,nan,nan,21.805812687547704,nan,nan,nan,1.825789173571117,nan,nan
8,68.25438766136341,20.486686247292308,23.8836673942463,0.0,0.03669418834451435,21.801558737347328,nan,20.038239050220785,nan,nan,nan,21.805812687547704,nan,nan,nan,1.7675736373269189,nan,nan
9,68.08458390471817,20.612613631939066,23.735798401382194,0.0,0.037348021316094916,21.801558744782273,nan,19.853008224004817,nan,nan,nan,21.805812687547704,nan,nan,nan,1.9528044635428863,nan,nan
10,67.54574367631858,20.290950520070776,23.627213008257225,0.0,0.036683666127464404,21.80155862868279,nan,20.2871224337001,nan,nan,nan,21.805812687547704,nan,nan,nan,1.518690253847602,nan,nan
11,67.6147770528493,20.36241740179562,23.62599724708111,0.0,0.036510184019625275,21.801558748785702,nan,20.0206370594066,nan,nan,nan,21.805812687547704,nan,nan,nan,1.7851756281411042,nan,nan
12,67.49218493322918,20.318422827084383,23.58669967822943,0.0,0.036251906584808674,21.801558750501457,nan,20.00820243187879,nan,nan,nan,21.805812687547704,nan,nan,nan,1.7976102556689142,nan,nan
